"","電話末四碼","Knowledge_1.y","Knowledge_2.y","Knowledge_3.y","Knowledge_4.y","Knowledge_5.y","Knowledge_6.y","Knowledge_7.y","Knowledge_8.y","Knowledge_9.y"
"1","1076",0,1,0,0,1,0,0,1,0
"2","1099",1,1,0,0,0,0,0,1,0
"3","1391",0,0,0,0,0,0,0,1,0
"4","1487",0,1,0,0,1,0,1,0,0
"5","1669",1,0,0,0,1,0,0,0,0
"6","1680",1,1,0,0,0,0,1,0,0
"8","1812",1,0,0,0,0,0,0,0,0
"9","1822",0,1,0,0,0,0,0,1,0
"10","1886",1,0,0,0,0,0,0,0,0
"11","2005",0,0,0,0,0,0,1,1,0
"13","2322",0,0,0,0,1,0,0,1,0
"14","2375",0,1,0,0,0,0,0,1,0
"15","2586",0,1,0,0,0,0,0,1,0
"16","2807",0,0,0,0,0,0,0,1,0
"17","292",0,1,0,0,0,0,0,0,0
"18","3238",1,0,0,0,1,0,0,1,0
"19","3301",0,1,0,0,1,0,0,1,0
"20","3505",0,1,0,0,0,0,0,1,0
"22","3634",0,0,0,0,0,0,1,0,0
"24","3965",0,1,0,0,0,0,0,1,0
"28","5202",1,0,0,0,1,0,1,1,0
"29","522",0,1,0,0,1,0,1,1,0
"30","5370",0,0,0,0,0,0,0,0,0
"31","5672",1,0,0,0,0,0,1,1,0
"32","5878",0,0,0,0,0,0,0,1,0
"33","6085",1,0,0,0,0,0,0,1,0
"34","617",0,1,0,0,0,0,0,1,0
"36","6350",0,0,0,0,0,0,1,1,0
"38","6632",1,0,0,0,1,0,0,0,0
"39","677",0,0,0,0,0,0,0,0,0
"40","7382",1,1,0,0,1,0,0,1,0
"41","7489",0,0,0,0,1,0,0,1,0
"43","7845",1,1,0,0,0,0,0,1,0
"44","7943",1,1,0,0,0,0,0,0,0
"45","7952",1,1,0,0,0,0,0,1,0
"46","8657",0,1,0,0,1,0,0,1,0
"47","8700",0,0,0,0,1,0,0,1,0
"48","876",0,0,0,0,0,0,0,1,0
"49","8793",0,0,0,0,0,0,0,0,0
"52","920",0,1,0,0,0,0,0,1,0
"54","9525",0,0,0,0,0,0,0,0,0
"55","9602",1,1,0,0,0,0,0,0,0
"56","9680",1,1,1,0,0,0,0,0,0
"58","9740",0,1,0,0,1,0,0,0,0
"60","偶不ㄗ道",0,1,0,0,0,0,0,1,0
